1376415858943,1,0
1059,20,0
1376415860023,22,1
1376415858943,21,0
1376415860023,21,1
1376444908538,1,0
2258,20,0
1376444910815,22,1
1376444908538,21,0
1376444909876,21,1
1376444910295,21,0
1376444910712,21,1
1376444910985,2,0
1634,20,0
1376444910984,22,0
1376444912638,22,1
1376444912063,21,1
1376444924605,2,0
1163,20,0
1376444924604,22,0
1376444925735,22,1
1376444925788,21,1
1376444926261,2,0
1061,20,0
1376444926260,22,0
1376444927345,22,1
1376444926260,21,1
1376520395929,1,0
1267,20,0
1376520397216,22,1
1376520395929,21,0
1376520397008,21,1
1376531699412,2,0
1584,20,0
1376531699411,22,0
1376531701016,22,1
1376531700754,21,1
1376619779681,1,0
1059,20,0
1376619780759,22,1
1376619779681,21,0
1376619780759,21,1
